Date,Open,High,Low,Close,Adj Close,Volume
2017-12-20,6.640000,6.690000,6.630000,6.650000,6.423669,3275800
2017-12-21,6.670000,6.760000,6.670000,6.690000,6.462307,4692600
2017-12-22,6.610000,6.630000,6.580000,6.610000,6.385030,3077500
2017-12-26,6.600000,6.620000,6.590000,6.610000,6.385030,1489900
2017-12-27,6.590000,6.600000,6.560000,6.570000,6.346392,3036500
2017-12-28,6.560000,6.590000,6.540000,6.550000,6.327073,3645000
2017-12-29,6.560000,6.560000,6.520000,6.540000,6.317412,2804800
2018-01-02,6.550000,6.570000,6.530000,6.550000,6.327073,3013400
2018-01-03,6.510000,6.530000,6.480000,6.530000,6.307753,3396600
2018-01-04,6.720000,6.770000,6.700000,6.750000,6.520266,5481900
2018-01-05,6.780000,6.810000,6.740000,6.790000,6.558904,3553400
2018-01-08,6.790000,6.820000,6.760000,6.770000,6.539585,2622300
2018-01-09,6.760000,6.780000,6.740000,6.760000,6.529925,3417300
2018-01-10,6.960000,6.970000,6.930000,6.940000,6.703799,6035500
2018-01-11,7.120000,7.160000,7.090000,7.110000,6.868013,8355500
2018-01-12,7.170000,7.200000,7.120000,7.170000,6.925971,5368100
2018-01-16,7.200000,7.240000,7.170000,7.180000,6.935630,5176900
2018-01-17,7.170000,7.220000,7.130000,7.200000,6.954949,4176400
2018-01-18,7.200000,7.220000,7.170000,7.190000,6.945290,2658600
2018-01-19,7.220000,7.250000,7.200000,7.250000,7.003248,3945800
2018-01-22,7.360000,7.420000,7.340000,7.420000,7.167462,5994700
2018-01-23,7.320000,7.370000,7.300000,7.360000,7.109505,5149900
2018-01-24,7.420000,7.430000,7.350000,7.420000,7.167462,5100800
2018-01-25,7.530000,7.570000,7.490000,7.520000,7.264059,7293100
2018-01-26,7.500000,7.550000,7.490000,7.550000,7.293038,3505300
2018-01-29,7.460000,7.480000,7.430000,7.460000,7.206101,4993700
2018-01-30,7.350000,7.370000,7.310000,7.350000,7.169251,4840900
2018-01-31,7.390000,7.420000,7.370000,7.410000,7.227776,5015800
2018-02-01,7.360000,7.420000,7.340000,7.420000,7.237530,5253700
2018-02-02,7.300000,7.320000,7.160000,7.160000,6.983924,6415300
2018-02-05,7.140000,7.200000,6.870000,6.910000,6.740072,9733800
2018-02-06,6.890000,7.060000,6.870000,7.050000,6.876630,11341100
2018-02-07,6.960000,7.050000,6.950000,6.960000,6.788842,7453900
